Track Name,Artists,Album Name,Album Id,Track ID,Popularity,Release Date,Duration (ms),Explicit URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Nonsense,Sabrina Carpenter,emails i can't send,5kDmlA2g9Y1YCbNo2Ufxlz,6dgUya35uo964z7GZXM07g,,2022-07-15,163648,,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992
YOUTH,Troye Sivan,Blue Neighbourhood (Deluxe),5ouTDazE4LF9bVJPx1nlgW,1cOyWWUr3oXJIxY0AjJEx9,,2015-12-04,185194,,0.628,0.737,7,-4.437,1,0.041,0.0625,0.0,0.0777,0.592,91.507
One Last Time,Ariana Grande,My Everything (Deluxe),6EVYTRG1drKdO8OnIQBeEj,7xoUc6faLbCqZO6fQEYprd,,2014-08-25,197267,,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026
comethru,Jeremy Zucker,"summer,",6Whp0T7d1SAt4gDUNkWWD1,18uwL0vNUanqZH0ro2QcOP,,2018-09-28,181613,,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982
deja vu,Olivia Rodrigo,SOUR,6s84u2TUpR3wdUv4NgKA2j,6HU7h9RYOaPRFeh0R3UeAr,,2021-05-21,215507,,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917
Ghost,Justin Bieber,Justice,5dGWwsZ9iB2Xc3UKR0gif2,6I3mqTwhRpn34SLVafSH7G,,2021-03-19,153190,,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91e-05,0.415,0.441,153.96
We Don't Talk Anymore (feat. Selena Gomez),"Charlie Puth, Selena Gomez",Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,37FXw5QGFN7uwwsLy8uAc0,,2016-01-29,217707,,0.728,0.563,1,-8.053,0,0.134,0.621,0.0,0.179,0.352,100.017
Made You Look,Meghan Trainor,Takin' It Back,4LVa9bljQRvLYpWr8qyaXs,0QHEIqNKsMoOY5urbzN48u,,2022-10-21,134256,,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981
"Sit Still, Look Pretty",Daya,"Sit Still, Look Pretty",3NoYyHEGIa8as1c0cisZAt,6ZtiywT2Qm50a1uR0jlY35,,2016-10-07,207761,,0.846,0.734,2,-3.601,1,0.108,0.286,8.27e-05,0.425,0.717,90.98
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",Sweet Talker (Deluxe Version),2rDIivxBafNKpgRqlzIRSb,0puf9yIluy9W0vpMEUoAnN,,2014-10-14,199387,,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028
