Track Name,Artists,Album Name,Album Id,Track ID,Popularity,Release Date,Duration (ms),Explicit URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Last Christmas - Remastered,Wham!,Twenty Five,5HaOXSCK1IlwzV4ve7CUKY,6wn2nmFn3wDuiMldRiuRuL,,2006-11-11,267160,,0.757,0.618,11,-7.964,0,0.0282,0.262,0.0,0.221,0.861,106.856
It's Beginning to Look a Lot like Christmas,Michael Bublé,Christmas (Deluxe Special Edition),7uVimUILdzSZG4KKKWToq0,5a1iz510sv2W9Dt1MvFd5R,,2012-11-09,206640,,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-06,0.341,0.363,94.775
Winter Wonderland - Spotify Singles Holiday,Laufey,Spotify Singles Holiday,1Ph9nV8cNv7Gq7yHOlmbgh,1LmkdWSxjCV7wKTPsCvYWN,,2023-11-14,132800,,0.528,0.281,2,-9.784,1,0.037,0.839,0.0,0.0873,0.514,127.617
You Make It Feel Like Christmas (with Blake Shelton),"Gwen Stefani, Blake Shelton",You Make It Feel Like Christmas (Deluxe Edition - 2020),0xXKtxOYqLBTjcefyh8Oz8,3SjaE7SExrVnRZi45KXT3O,,2020-10-23,156773,,0.635,0.87,2,-4.291,0,0.04,0.0152,0.0,0.118,0.912,92.999
"Santa, Can’t You Hear Me","Kelly Clarkson, Ariana Grande",When Christmas Comes Around...,5sVFXIMrFRKBtDOexVlBBU,2O3MQ6H3gjrIWDcpeTrikT,,2021-10-15,242645,,0.495,0.896,11,-2.381,1,0.0331,0.005,0.0,0.353,0.462,146.04
Christmas Tree Farm,Taylor Swift,Christmas Tree Farm,5JnnrTE35MQagEnEkFthiF,2mvabkN1i2gLnGAPUVdwek,,2019-12-06,228027,,0.598,0.68,7,-4.505,1,0.0331,0.06,0.0,0.324,0.437,134.002
A Nonsense Christmas,Sabrina Carpenter,A Nonsense Christmas,2D2boDrCPl6idtxpJF6r38,7yogx3TwxGwSxO2QITsT2q,,2022-12-07,153100,,0.722,0.75,8,-4.051,1,0.0445,0.00768,0.0,0.128,0.57,139.019
DJ Play A Christmas Song,Cher,DJ Play A Christmas Song,6s5Q4m7eVFpdPwzGCLiYX8,2ljUUoqlnRUGGa7bmpvevC,,2023-10-06,209107,,0.533,0.76,11,-7.256,0,0.121,0.157,0.0,0.614,0.466,133.916
Oh Santa! (feat. Ariana Grande & Jennifer Hudson),"Mariah Carey, Ariana Grande, Jennifer Hudson",Oh Santa! (feat. Ariana Grande & Jennifer Hudson),2g0Ha2fsHrVBueqWdBGUpB,1Ri9P0ZPrqr6h0REDRdJBd,,2020-12-04,200467,,0.648,0.938,1,-3.298,1,0.115,0.0339,1.28e-06,0.0564,0.849,78.496
Snowman - Sped Up Version,"Sia, sped up nightcore",Snowman (Sped Up Version),4ZGx4gR1GCT5i5zOHsRX6T,3BwbSLW4YtIGkhCNFsHu52,,2022-07-07,137578,,0.764,0.417,4,-9.16,1,0.0461,0.292,0.0,0.0832,0.575,126.004
