Track Name,Artists,Album Name,Album Id,Track ID,Popularity,Release Date,Duration (ms),Explicit URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Stand by Me,Ben E. King,Don't Play That Song (Mono),18Fj7coTfyMi7mEPXIweN7,3SdTKo2uVsxFblQjpScoHy,,1962-08-20,180056,,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",United,5LqviduT0g0J0ypFrFSwCE,7tqhbajSfrz2F7E1Z75ASX,,1967-08-29,151667,,0.663,0.6,7,-10.87,1,0.032,0.43,0.0,0.184,0.8,129.991
Put Your Head On My Shoulder,Paul Anka,Put Your Head On My Shoulder: The Very Best Of Paul Anka,75zBkbUSaFzpyPa1mBDjON,2DpJ9T2RVRanZcYFHKOAfA,,2000-10-03,154733,,0.547,0.335,4,-9.2,0,0.0307,0.747,0.0,0.101,0.474,115.838
Take Me to Church,Hozier,Hozier (Expanded Edition),4Pv7m8D82A1Xun7xNCKZjJ,1CS7Sd1u5tWkstBhpssyjP,,2014-09-19,241693,,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945
I'm Still Standing,Elton John,Too Low For Zero,0OmYuz9hwn1XoqmDaU0yJ7,1jDJFeK9x3OZboIAHsY9k2,,1983-05-30,183440,,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808
Stayin' Alive,Bee Gees,Staying Alive (Original Motion Picture Soundtrack),6iqFb4EhmlHHjJGFcRgJmQ,4UDmDIqJIbrW0hMBQMFOsM,,1977-12-13,92867,,0.707,0.535,10,-19.793,0,0.0436,0.113,0.00615,0.0884,0.641,103.644
Hit the Road Jack,Ray Charles,True Genius,7gvxyetkX6vkoMyDkDM6ls,5dUMh0ugelpKfoFp3qChuK,,2021-09-10,119880,,0.598,0.571,8,-12.616,0,0.139,0.704,0.0,0.513,0.962,173.141
Careless Whisper,George Michael,Ladies And Gentlemen... The Best Of George Michael,3coLNlyStg9h7f8CZ103Rl,4jDmJ51x1o9NZB5Nxxc7gY,,1998-11-09,300107,,0.574,0.628,2,-8.815,0,0.036,0.13,0.0,0.271,0.803,153.119
Can't Take My Eyes Off You - Original Extended Version,Boys Town Gang,Disco Kicks (The Complete Anthology),7dgadbCGvyi513OxINlOqQ,7EblNAQKo2q1DCRnO2bVmD,,2014-05-30,589547,,0.651,0.754,10,-10.421,1,0.0302,0.00985,0.0043,0.139,0.664,129.617
Take on Me,a-ha,Hunting High and Low,1ER3B6zev5JEAaqhnyyfbf,2WfaOiMkCvy7F5fcp2zZ8L,,1985-06-01,225280,,0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412
Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,1UQG78YJjaBySRMh0A8Uw7,05wIrZSwuaVWhcv5FfqeH0,,1985,238733,,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902
Somebody's Watching Me,Rockwell,Somebody's Watching Me,5RkdTCk60twFkCif5HLHKw,7jwQlYGpOml9ETGre1HqGA,,1984-01-30,298867,,0.82,0.357,1,-13.585,0,0.0437,0.0371,0.00452,0.0541,0.765,124.117
Purple Rain,Prince,Purple Rain,7nXJ5k4XgRj5OLg9m8V3zc,54X78diSLoUDI3joC2bjMz,,1984-06-25,520787,,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066
When Doves Cry,Prince,Purple Rain,7nXJ5k4XgRj5OLg9m8V3zc,51H2y6YrNNXcy3dfc3qSbA,,1984-06-25,352906,,0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),1cM3r0WQZWNkCpEbmFjLln,18AXbzPzBS8Y3AkgSxzJPb,,1981-01-01,336453,,0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507
